Numéro d'ordre;Indiction;Année;Mois;Jour;Type d’acte;Titre;Prénoms;Nom;Domicile;Rôle;Notes;Lieu mentionné;Transcription;Page;Vue;Notaire;Ville;Releveur;Cote;URL
25;8;1580;3;29;Mandement volontaire;Mandamento volontario p m.o Pauleto Cereni contra Gio Passerone Gili;Paulin;Seren;Lantosque;Partie 1;;;;22;25;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/25
25;8;1580;3;29;Mandement volontaire;Mandamento volontario p m.o Pauleto Cereni contra Gio Passerone Gili;Jean;Passeron Gili;Lantosque;Partie 2;;;;22;25;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/25
26;8;1580;4;7;Débit;Debito p m.o Pietro Goleto q.a Gaspar Auda;Pierre;Goletto;;Partie 1;;;;22;25;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/25
26;8;1580;4;7;Débit;Debito p m.o Pietro Goleto q.a Gaspar Auda;Gaspard;Auda;Lantosque;Partie 2;;;;22;25;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/25
27;8;1580;4;7;Mandement volontaire;Mandamento volontario p Gio & Giaco Carassi frateli q.a Herigio Buffone;Jean;Carasso;Lantosque;Partie 1;;;;23;25;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/25
27;8;1580;4;7;Mandement volontaire;Mandamento volontario p Gio & Giaco Carassi frateli q.a Herigio Buffone;Jacques;Carasso;Lantosque;Partie 2;;;;23;25;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/25
27;8;1580;4;7;Mandement volontaire;Mandamento volontario p Gio & Giaco Carassi frateli q.a Herigio Buffone;Erige;Buffon;Lantosque;Partie 3;;;;23;25;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/25
28;8;1580;4;20;Mandement volontaire;Mandamento volontario p Gio Moissino signori contra Loigio Otto minore;Jean;Moissin Signori;Lantosque;Partie 1;;;;23;26;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/26
28;8;1580;4;20;Mandement volontaire;Mandamento volontario p Gio Moissino signori contra Loigio Otto minore;Louis (Junior);Otto Brondé;Lantosque;Partie 2;;;;23;26;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/26
29;8;1580;4;25;Quittance;Quitansa & reto.ne p Gioanni Buffoni Herigio & Filipponi frali da Loigio Otto Bronde cognato;Jean;Buffon;Lantosque;Partie 1;;;;23;26;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/26
